current_team,logo
Saint Francis,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2598.png&h=200&w=200
Saint Joseph's,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2603.png&h=200&w=200
Saint Louis,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/139.png&h=200&w=200
Saint Mary's,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2608.png&h=200&w=200
Saint Peter's,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2612.png&h=200&w=200
Sam Houston St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2534.png&h=200&w=200
Samford,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2535.png&h=200&w=200
San Diego,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/301.png&h=200&w=200
San Diego St.,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png
San Francisco,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2539.png&h=200&w=200
San Jose St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/23.png&h=200&w=200
Santa Clara,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2541.png&h=200&w=200
Seattle,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2547.png&h=200&w=200
Seton Hall,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2550.png&h=200&w=200
Siena,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2561.png&h=200&w=200
SIUE,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2565.png&h=200&w=200
SMU,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
South Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png
South Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
South Carolina St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2569.png&h=200&w=200
South Dakota,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/233.png&h=200&w=200
South Dakota St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2571.png&h=200&w=200
South Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png
Southeast Missouri,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2546.png&h=200&w=200
Southeastern Louisiana,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2545.png&h=200&w=200
Southern,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2582.png&h=200&w=200
Southern Illinois,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/79.png&h=200&w=200
Southern Indiana,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/88.png&h=200&w=200
Southern Miss,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
Southern Utah,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/253.png&h=200&w=200
St. Bonaventure,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/179.png&h=200&w=200
St. John's,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png&h=200&w=200
St. Thomas,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2900.png&h=200&w=200
Stanford,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
